customer_id,Recency,Frequency,Monetary,cart_size,customer_satisfaction,customer_age_group,customer_gender,region,store_location_type,is_rewards_member,order_channel,Cluster_Socio_KM,Cluster_Socio_LCA,LCA_Socio_Prob_Max,Cluster_RFM_KM,Cluster_RFM_LCA,LCA_RFM_Prob_Max,Nombre_RFM,Nombre_Socio,Segmento_Nombre,Segmento_Final,num_customizations,fulfillment_time_min
CUST_00001,41,12,174.6,3.6666666666666665,3.25,35-44,Male,Southwest,Suburban,1,Drive-Thru,0,0,0.5117178441094673,1,2,0.702040716000844,Leales Premium,Adultos Drive-Thru,Adultos Drive-Thru · Leales Premium,0_1,2.5,5.133333333333334
CUST_00002,62,13,207.18,4.076923076923077,4.076923076923077,25-34,Male,Midwest,Urban,0,Mobile App,1,1,0.9541575194590834,1,3,0.660274887501976,Leales Premium,Jóvenes Digitales,Jóvenes Digitales · Leales Premium,1_1,2.076923076923077,4.461538461538462
CUST_00003,84,5,79.71,4.2,3.4,35-44,Female,Southwest,Rural,0,Mobile App,2,1,0.7267734259479066,2,1,0.9317637064886518,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,1.2,4.94
CUST_00004,146,7,95.85,3.5714285714285716,4.142857142857143,45-54,Male,West,Rural,0,Drive-Thru,1,0,0.5634507231687544,2,1,0.8073620892818201,Regulares Activos,Adultos Drive-Thru,Adultos Drive-Thru · Regulares Activos,0_2,2.0,4.742857142857143
CUST_00005,80,3,47.45,4.666666666666667,3.6666666666666665,25-34,Male,Northeast,Suburban,0,Drive-Thru,1,1,0.5177447867462448,2,1,0.986584416236866,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,1.3333333333333333,4.733333333333333
CUST_00007,82,8,128.88,4.375,3.25,18-24,Male,Midwest,Rural,0,Drive-Thru,1,1,0.43022429099892,1,2,0.5377720977045073,Leales Premium,Jóvenes Digitales,Jóvenes Digitales · Leales Premium,1_1,1.5,4.475
CUST_00008,24,5,67.62,3.6,2.8,35-44,Female,Southwest,Urban,0,In-Store Cashier,2,2,0.8251620288161957,2,1,0.9414869723911596,Regulares Activos,Tradicionales Presenciales,Tradicionales Presenciales · Regulares Activos,2_2,2.0,4.18
CUST_00009,77,6,99.71,3.8333333333333335,4.0,25-34,Female,Southwest,Urban,1,Mobile App,0,1,0.9818784907641608,2,1,0.8275248094607865,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,2.6666666666666665,4.916666666666667
CUST_00010,95,7,90.06,3.0,3.4285714285714284,45-54,Male,Southwest,Suburban,1,Mobile App,0,1,0.8206581800678626,2,1,0.8088897862472221,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,0.8571428571428571,4.414285714285714
CUST_00011,180,8,104.4,3.25,4.25,45-54,Female,West,Urban,0,In-Store Cashier,2,2,0.8212953663250036,2,1,0.6976100326373481,Regulares Activos,Tradicionales Presenciales,Tradicionales Presenciales · Regulares Activos,2_2,1.625,3.9375
CUST_00012,44,5,93.45,4.8,3.0,25-34,Male,Northeast,Suburban,0,Mobile App,1,1,0.9621293382543914,2,1,0.8911100087013202,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,3.0,5.220000000000001
CUST_00013,175,8,123.08,4.25,3.25,55+,Male,West,Urban,0,In-Store Cashier,1,2,0.9985075054157262,1,1,0.5706819637491287,Leales Premium,Tradicionales Presenciales,Tradicionales Presenciales · Leales Premium,2_1,1.375,3.6125000000000003
CUST_00014,365,3,36.46,4.0,2.6666666666666665,18-24,Male,Southeast,Urban,0,Drive-Thru,1,1,0.511438729172338,0,0,0.8307065972495778,Dormidos,Jóvenes Digitales,Jóvenes Digitales · Dormidos,1_0,0.3333333333333333,5.133333333333333
CUST_00015,39,4,65.03,3.75,2.5,45-54,Female,West,Suburban,1,Kiosk,0,0,0.8116703516754518,2,1,0.9660951370492202,Regulares Activos,Adultos Drive-Thru,Adultos Drive-Thru · Regulares Activos,0_2,4.0,4.75
CUST_00016,21,11,158.51,3.909090909090909,4.090909090909091,45-54,Female,West,Urban,1,Mobile App,0,1,0.8390370121872659,1,2,0.8236879526698143,Leales Premium,Jóvenes Digitales,Jóvenes Digitales · Leales Premium,1_1,1.2727272727272727,5.045454545454546
CUST_00017,56,9,140.82,4.555555555555555,3.2222222222222223,35-44,Prefer not to say,West,Rural,0,In-Store Cashier,2,2,0.8023813343680977,1,2,0.7257597916020904,Leales Premium,Tradicionales Presenciales,Tradicionales Presenciales · Leales Premium,2_1,1.4444444444444444,3.933333333333333
CUST_00018,23,6,77.21,3.0,4.166666666666667,25-34,Female,West,Urban,0,Mobile App,2,1,0.9675135094872552,2,1,0.8854360576166628,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,2.0,3.9
CUST_00019,19,7,115.34,3.4285714285714284,4.142857142857143,45-54,Female,Southeast,Urban,1,Mobile App,0,1,0.8445580963110312,2,1,0.6182267236456245,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,3.5714285714285716,5.328571428571428
CUST_00020,269,3,32.19,2.6666666666666665,3.6666666666666665,45-54,Female,Southwest,Urban,0,Drive-Thru,2,0,0.492980545075016,0,1,0.7064135289710565,Dormidos,Adultos Drive-Thru,Adultos Drive-Thru · Dormidos,0_0,1.0,3.9333333333333336
CUST_00021,79,6,71.91,2.8333333333333335,3.1666666666666665,35-44,Male,Northeast,Suburban,0,Drive-Thru,1,0,0.503457876727058,2,1,0.9143230466127955,Regulares Activos,Adultos Drive-Thru,Adultos Drive-Thru · Regulares Activos,0_2,1.1666666666666667,5.1499999999999995
CUST_00022,2,5,74.13,3.4,3.8,25-34,Male,Southeast,Urban,0,Mobile App,1,1,0.9641715107789056,2,1,0.9258623307990876,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,1.6,3.7399999999999998
CUST_00023,72,4,71.82,4.5,3.25,18-24,Male,Northeast,Urban,0,Mobile App,1,1,0.9587347966076927,2,1,0.9626897332560799,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,2.5,4.625
CUST_00024,155,4,70.22,4.5,3.5,18-24,Male,Southeast,Rural,1,Mobile App,0,1,0.9670186205119617,2,1,0.9671100449113023,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,1.75,3.9000000000000004
CUST_00025,239,4,69.84,4.25,3.25,35-44,Male,Southwest,Rural,0,Drive-Thru,1,0,0.55428584697588,0,1,0.9279887768427421,Dormidos,Adultos Drive-Thru,Adultos Drive-Thru · Dormidos,0_0,2.25,6.225
CUST_00026,197,5,57.080000000000005,2.8,3.4,25-34,Male,Midwest,Suburban,0,Drive-Thru,1,1,0.478144287952913,0,1,0.9585901982257252,Dormidos,Jóvenes Digitales,Jóvenes Digitales · Dormidos,1_0,1.2,4.5600000000000005
CUST_00027,17,9,154.09,4.444444444444445,4.111111111111111,25-34,Non-binary,Midwest,Urban,0,Mobile App,2,1,0.9709647247546291,1,2,0.7964972896983554,Leales Premium,Jóvenes Digitales,Jóvenes Digitales · Leales Premium,1_1,2.111111111111111,5.0888888888888895
CUST_00028,5,10,154.28,4.4,3.4,35-44,Female,Northeast,Suburban,1,Drive-Thru,0,0,0.47970384999579385,1,2,0.8320975296787173,Leales Premium,Adultos Drive-Thru,Adultos Drive-Thru · Leales Premium,0_1,1.1,5.0200000000000005
CUST_00029,37,9,148.73,4.444444444444445,3.888888888888889,18-24,Female,Midwest,Urban,0,Drive-Thru,2,1,0.5021009823556418,1,2,0.7698411914526491,Leales Premium,Jóvenes Digitales,Jóvenes Digitales · Leales Premium,1_1,1.2222222222222223,5.455555555555556
CUST_00030,41,5,84.2,3.8,4.0,18-24,Male,Midwest,Suburban,0,Mobile App,1,1,0.9406095792859777,2,1,0.9134986960617948,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,2.4,4.4799999999999995
CUST_00031,3,11,130.38,3.0,3.1818181818181817,55+,Female,Southeast,Suburban,1,In-Store Cashier,0,2,0.9976942308627411,1,2,0.8226605191163854,Leales Premium,Tradicionales Presenciales,Tradicionales Presenciales · Leales Premium,2_1,1.6363636363636365,4.281818181818182
CUST_00032,144,4,75.5,5.0,3.5,35-44,Female,West,Suburban,1,In-Store Cashier,0,2,0.7864323766922209,2,1,0.963599999614311,Regulares Activos,Tradicionales Presenciales,Tradicionales Presenciales · Regulares Activos,2_2,1.0,3.45
CUST_00033,64,8,113.6,3.25,3.5,45-54,Female,Northeast,Urban,1,Mobile App,0,1,0.8490164794400434,1,1,0.5529931223276838,Leales Premium,Jóvenes Digitales,Jóvenes Digitales · Leales Premium,1_1,1.875,4.675000000000001
CUST_00034,28,5,61.91,3.6,3.8,25-34,Male,Southeast,Rural,0,Drive-Thru,1,1,0.4972287729122756,2,1,0.9504059152267761,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,0.8,5.14
CUST_00035,198,3,51.989999999999995,3.6666666666666665,3.6666666666666665,25-34,Male,Northeast,Urban,1,Mobile App,0,1,0.9785607632132125,0,1,0.9529975551003245,Dormidos,Jóvenes Digitales,Jóvenes Digitales · Dormidos,1_0,2.6666666666666665,4.8999999999999995
CUST_00036,14,6,99.1,4.166666666666667,4.0,25-34,Non-binary,Southeast,Rural,0,Mobile App,2,1,0.971798413517279,2,1,0.8006664010932343,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,1.5,4.3999999999999995
CUST_00037,115,6,95.81,4.333333333333333,4.166666666666667,45-54,Male,West,Suburban,0,Mobile App,1,1,0.7155210384899029,2,1,0.8576202384970408,Regulares Activos,Jóvenes Digitales,Jóvenes Digitales · Regulares Activos,1_2,1.6666666666666667,4.4
